mp3tagArtist;mp3tagGenre;mainArtist;mainId;downloaded
Enterprise Earth;Deathcore;Enterprise Earth;923642844;2026-02-06 09:23:30
Epica;Symphonic Metal;Epica;185933496;2026-02-06 09:23:34
Equipoise;Technical Death Metal;Equipoise;1344210544;2026-02-06 09:23:38
Eternal Storm;Melodic Death Metal;Eternal Storm;843621835;2026-02-06 09:23:43
Eva Under Fire;Alternative;Eva Under Fire;1066053168;2026-02-06 09:23:47
Evanescence;Alternative;Evanescence;42102393;2026-02-06 09:23:52
Evans Blue;Alternative;Evans Blue;102861586;2026-02-06 09:23:56
Evile;Thrash Metal;Evile;258833437;2026-02-06 09:24:00
Ex Deo;Symphonic Metal;Ex Deo;315632493;2026-02-06 09:24:04
Exhorder;Thrash Metal;Exhorder;106228497;2026-02-06 09:24:09
Exotype;Nu Metal;Exotype;565644950;2026-02-06 09:24:13
Extortionist;Deathcore;Extortionist;825926898;2026-02-06 09:24:17
Fall Out Boy;Alternative;Fall Out Boy;28673423;2026-02-06 09:24:22
Falling in Reverse;Alternative;Falling in Reverse;439592053;2026-02-06 09:24:27
Fallujah;Technical Death Metal;Fallujah;474676502;2026-02-06 09:24:31
False Memories;Gothic Metal;False Memories;980357124;2026-02-06 09:24:35
Farmer Boys;Alternative;Farmer Boys;17508882;2026-02-06 09:24:39
Faun;Folk Metal;Faun;61412380;2026-02-06 09:24:44
Fear Factory;Industrial Metal;Fear Factory;15773169;2026-02-06 09:24:48
Fergie;Pop;Fergie;151910203;2026-02-06 09:24:53
Feuerschwanz;Folk Metal;Feuerschwanz;211261102;2026-02-06 09:24:57
Fever 333;Rap Metal;Fever 333;1272838229;2026-02-06 09:25:02
Finger Eleven;Alternative;Finger Eleven;96318432;2026-02-06 09:25:06
First Fragment;Technical Death Metal;First Fragment;1097645498;2026-02-06 09:25:10
Fit for an Autopsy;Deathcore;Fit for an Autopsy;437838789;2026-02-06 09:25:15
Five Finger Death Punch;Groove Metal;Five Finger Death Punch;258875116;2026-02-06 09:25:19
Flaw;Nu Metal;Flaw;88311;2026-02-06 09:25:24
Fleshgod Apocalypse;Symphonic Metal;Fleshgod Apocalypse;450736188;2026-02-06 09:25:28
Flyleaf;Alternative;Flyleaf;27653104;2026-02-06 09:25:32
Foo Fighters;Alternative;Foo Fighters;6906197;2026-02-06 09:25:37
